publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2018p706953,,2018-09-19T13:44:49.785Z,2018-09-19T13:56:09.323Z,175.9712559,-39.2680289,2.191885545,58.203125,M,,NonLinLoc,,automatic,nz3drx,52,52,24,0.2229987286,35.83381217,0.7529675566,0
2018p706947,earthquake,2018-09-19T13:41:56.883Z,2018-09-19T20:52:18.576Z,175.7582982,-39.00021132,0.7927539159,7.4609375,M,,NonLinLoc,confirmed,manual,nz3drx,17,9,6,0.05388418059,190.4168256,0.1656959643,0
2018p706931,,2018-09-19T13:33:27.161Z,2018-09-19T13:37:19.505Z,177.2851931,-38.15249972,2.611511023,104.375,M,,NonLinLoc,,automatic,nz3drx,31,31,12,0.1785095427,186.8750523,2.081645153,0
2018p706927,earthquake,2018-09-19T13:31:35.812Z,2018-09-19T20:51:13.659Z,175.7653358,-39.00334391,0.5004178622,6.640625,M,,NonLinLoc,confirmed,manual,nz3drx,15,9,4,0.06008715632,102.4396826,0.1751415322,0
2018p706924,earthquake,2018-09-19T13:29:33.242Z,2018-09-19T20:50:15.168Z,175.7552395,-39.00095152,0.9720530232,8.8671875,M,,NonLinLoc,confirmed,manual,nz3drx,26,15,9,0.05207650806,99.05516821,0.2172289406,0
2018p706916,earthquake,2018-09-19T13:25:11.500Z,2018-09-19T20:49:20.617Z,175.7757369,-39.00324475,1.090209949,5.1171875,M,,NonLinLoc,confirmed,manual,nz3drx,13,7,10,0.06738973841,201.7664701,0.2226796082,0
2018p706906,,2018-09-19T13:19:47.946Z,2018-09-19T13:21:51.964Z,172.7271053,-41.42041645,1.874515994,99.6875,M,,NonLinLoc,,automatic,nz3drx,11,11,3,0.03149960437,101.0324049,0.7662457618,0
2018p706850,,2018-09-19T12:50:08.024Z,2018-09-19T12:52:16.178Z,173.6212485,-40.66581259,1.787535028,82.8125,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.2644712747,198.4583356,0.6813846145,0
2018p706822,earthquake,2018-09-19T12:35:14.831Z,2018-09-19T20:47:38.814Z,176.2404124,-38.59154018,1.52952389,9.1015625,M,,NonLinLoc,confirmed,manual,nz3drx,18,12,8,0.08578423036,72.22902294,0.321845636,0
2018p706792,,2018-09-19T12:19:06.767Z,2018-09-19T12:43:47.778Z,177.0848972,-39.64930531,2.199757632,75.3125,M,,NonLinLoc,,automatic,nz3drx,30,30,13,0.3553283644,194.9768254,1.377441705,0
2018p706720,,2018-09-19T11:40:27.750Z,2018-09-19T11:53:43.758Z,176.2117314,-38.96780018,2.214584839,49.53125,M,,NonLinLoc,,automatic,nz3drx,43,43,20,0.2122837569,109.3479418,0.5887890552,0
2018p706690,,2018-09-19T11:24:48.313Z,2018-09-19T11:26:40.386Z,176.38829,-40.34992748,1.608645877,46.71875,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.1274693015,84.20909066,0.4744514099,0
2018p706620,,2018-09-19T10:47:40.148Z,2018-09-19T10:50:50.750Z,176.6579567,-37.87979269,2.793058749,160.625,M,,NonLinLoc,,automatic,nz3drx,39,39,16,0.2537634833,162.9283103,2.214071832,0
2018p706592,earthquake,2018-09-19T10:32:21.491Z,2018-09-19T22:01:42.256Z,175.8740845,-38.5409317,3.329695864,147.0865021,M,,LOCSAT,confirmed,manual,iasp91,68,57,78,0.06530805677,36.87338257,0.4851579282,0
2018p706587,earthquake,2018-09-19T10:29:46.021Z,2018-09-19T10:59:58.930Z,175.7624293,-39.00283834,0.8549713782,5.3515625,M,,NonLinLoc,confirmed,manual,nz3drx,18,10,4,0.0578551763,101.4608478,0.2333747624,0
2018p706549,earthquake,2018-09-19T10:09:22.287Z,2018-09-19T10:59:01.169Z,175.7560069,-39.00681029,0.9802424815,5.1171875,M,,NonLinLoc,confirmed,manual,nz3drx,26,16,9,0.05539963911,98.99664132,0.2980885005,0
2018p706537,,2018-09-19T10:03:10.587Z,2018-09-19T10:04:35.425Z,175.7770283,-39.08997965,0.7052563409,5.1171875,M,,NonLinLoc,,automatic,nz3drx,14,14,5,0.06288611151,164.2461302,0.5715438931,0
2018p706532,earthquake,2018-09-19T10:00:35.235Z,2018-09-19T10:56:24.929Z,175.722507,-39.04996965,0.6572990919,9.3359375,M,,NonLinLoc,confirmed,manual,nz3drx,15,8,5,0.06134663889,310.2357198,0.1548302493,0
2018p706483,,2018-09-19T09:34:12.545Z,2018-09-19T09:35:40.931Z,175.8120001,-39.86753381,1.831202183,6.875,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.4600035787,188.547435,2.031125185,0
2018p706475,earthquake,2018-09-19T09:30:03.970Z,2018-09-19T10:55:09.143Z,175.7624293,-39.00283834,0.8986436135,5.1171875,M,,NonLinLoc,confirmed,manual,nz3drx,17,10,5,0.0578551763,101.4608478,0.3153022333,0
2018p706471,earthquake,2018-09-19T09:28:04.196Z,2018-09-19T10:54:10.729Z,175.7179176,-39.01481705,0.7646894635,5.1171875,M,,NonLinLoc,confirmed,manual,nz3drx,15,8,3,0.04159805113,166.6491084,0.2360423106,0
2018p706465,earthquake,2018-09-19T09:24:47.066Z,2018-09-19T10:52:54.281Z,175.7511087,-38.99832451,1.178407041,10.0390625,M,,NonLinLoc,confirmed,manual,nz3drx,26,16,11,0.04809126414,97.71495314,0.2451975944,0
2018p706463,earthquake,2018-09-19T09:23:37.236Z,2018-09-19T10:51:44.913Z,175.7145557,-38.98782971,1.224789377,5.05859375,M,,NonLinLoc,confirmed,manual,nz3drx,20,11,8,0.01857094212,160.7808739,0.1710694379,0
2018p706460,,2018-09-19T09:22:11.821Z,2018-09-19T09:24:10.828Z,176.4603537,-38.39369954,2.248126285,25.625,M,,NonLinLoc,,automatic,nz3drx,11,11,4,0.7292295398,222.9933498,1.581290827,0
2018p706457,earthquake,2018-09-19T09:20:32.248Z,2018-09-19T10:50:03.820Z,175.7329076,-38.99547613,0.799232602,5.05859375,M,,NonLinLoc,confirmed,manual,nz3drx,17,9,6,0.03446206107,173.5280552,0.3910328932,0
2018p706373,,2018-09-19T08:35:54.591Z,2018-09-19T08:50:33.409Z,177.3758785,-38.74760248,1.639135447,25.390625,M,,NonLinLoc,,automatic,nz3drx,11,11,5,0.04498664662,79.38132962,0.4440993093,0
2018p706216,,2018-09-19T07:12:20.139Z,2018-09-19T07:14:24.262Z,174.3061904,-41.72722289,1.44342473,11.5625,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.07299806513,153.4670718,0.3772465501,0
2018p706211,,2018-09-19T07:09:37.946Z,2018-09-19T07:20:35.903Z,175.4356501,-40.98168577,1.32586212,21.40625,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.1034155791,70.37030331,0.2740748192,0
2018p706208,,2018-09-19T07:08:17.495Z,2018-09-19T07:17:32.083Z,177.1243337,-39.61550741,2.083712997,16.71875,M,,NonLinLoc,,automatic,nz3drx,24,24,12,0.05873602281,196.318058,0.4710181151,0
2018p706197,,2018-09-19T07:01:53.239Z,2018-09-19T07:05:53.855Z,177.2436518,-39.67909771,2.509468322,25.15625,M,,NonLinLoc,,automatic,nz3drx,54,54,25,0.128801765,171.5253997,0.8367882297,0
2018p706087,,2018-09-19T06:03:21.791Z,2018-09-19T06:06:36.076Z,176.4254869,-39.3351805,2.597286198,63.828125,M,,NonLinLoc,,automatic,nz3drx,68,68,37,0.0889594411,36.83738754,0.7931040054,0
2018p706057,earthquake,2018-09-19T05:47:39.643Z,2018-09-19T05:58:20.750Z,167.4468231,-45.08705902,4.560198658,48.33846664,M,,LOCSAT,confirmed,manual,iasp91,17,13,18,0.5360936522,193.4562988,0.5833416278,0
2018p705985,,2018-09-19T05:09:07.778Z,2018-09-19T05:11:06.881Z,175.8807734,-40.61563211,1.586700495,21.171875,M,,NonLinLoc,,automatic,nz3drx,13,13,7,0.1621498723,63.85076024,0.9383063227,0
2018p705933,,2018-09-19T04:41:22.775Z,2018-09-19T07:44:43.273Z,171.3141555,-43.36411702,2.2346779,10.859375,M,,NonLinLoc,,automatic,nz3drx,21,21,6,0.2513042598,63.36797801,0.7023274193,0
2018p705846,earthquake,2018-09-19T03:54:54.555Z,2018-09-19T21:49:03.708Z,171.3033295,-43.35503387,3.699588055,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,22,18,27,0.2613412142,65.43097401,0.2687571605,0
2018p705807,,2018-09-19T03:34:02.245Z,2018-09-19T03:36:02.716Z,176.5304571,-40.05419305,1.477404864,35.46875,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.07067449112,76.46332675,0.3289097846,0
2018p705702,earthquake,2018-09-19T02:38:36.813Z,2018-09-19T21:39:13.141Z,175.7962494,-38.49992371,3.302094787,123.0151367,M,,LOCSAT,confirmed,manual,iasp91,33,28,47,0.2648521662,78.94360352,0.476734051,0
2018p705539,,2018-09-19T01:11:33.749Z,2018-09-19T01:12:55.737Z,177.7996671,-38.54902439,1.743192592,15.546875,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.1184244506,134.1749948,0.2630666062,0
2018p705529,earthquake,2018-09-19T01:05:54.590Z,2018-09-19T20:47:47.016Z,177.8248749,-38.55505371,2.981226679,17.50413513,M,,LOCSAT,confirmed,manual,iasp91,24,18,14,0.1171503365,51.34872437,0.3087402478,0
2018p705441,,2018-09-19T00:19:05.821Z,2018-09-19T00:21:54.378Z,173.5409011,-42.41733698,2.887235986,21.40625,M,,NonLinLoc,,automatic,nz3drx,37,37,21,0.001931862892,138.5649888,1.420524433,0
2018p705409,earthquake,2018-09-19T00:02:36.746Z,2018-09-19T00:53:51.943Z,175.7395012,-39.43270291,0.8424564599,15.078125,M,,NonLinLoc,confirmed,manual,nz3drx,22,12,7,0.02664864103,289.6109384,0.3095399959,0
2018p705346,,2018-09-18T23:28:39.016Z,2018-09-18T23:33:12.796Z,175.196784,-39.1068801,1.121599451,14.84375,M,,NonLinLoc,,automatic,nz3drx,14,14,7,0.1911775788,166.9547807,0.2708475347,0
2018p705309,,2018-09-18T23:08:39.164Z,2018-09-18T23:11:14.880Z,174.2530329,-41.64808833,2.141993932,14.609375,M,,NonLinLoc,,automatic,nz3drx,21,21,11,0.1070599336,112.4824198,0.5514199608,0
2018p705238,,2018-09-18T22:31:04.745Z,2018-09-18T22:33:23.382Z,174.8841715,-39.2207651,2.244032322,25.15625,M,,NonLinLoc,,automatic,nz3drx,30,30,14,0.3627574925,87.31928944,0.5274681294,0
2018p705201,earthquake,2018-09-18T22:11:27.177Z,2018-09-19T00:31:27.928Z,173.9754944,-39.72242355,4.439728722,186.5160828,M,,LOCSAT,confirmed,manual,iasp91,39,21,103,0.4054527581,124.8842468,0.6033361535,0
2018p705164,,2018-09-18T21:51:50.909Z,2018-09-18T21:53:47.395Z,174.9138546,-40.19734558,1.876908245,30.3125,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.646589959,206.5048515,0.3992360048,0
2018p705154,,2018-09-18T21:46:12.999Z,2018-09-19T00:53:12.152Z,174.7847375,-40.60877495,2.366771718,29.84375,M,,NonLinLoc,,automatic,nz3drx,40,40,19,0.2691137931,73.82535613,0.4291861619,0
2018p705125,,2018-09-18T21:30:48.251Z,2018-09-18T21:31:53.198Z,175.4039063,-41.06161361,1.503869503,24.453125,M,,NonLinLoc,,automatic,nz3drx,14,14,7,0.1849850073,60.03331812,0.3956019888,0
2018p705043,,2018-09-18T20:46:59.060Z,2018-09-18T20:48:58.888Z,174.9544939,-40.12018022,2.02673715,34.53125,M,,NonLinLoc,,automatic,nz3drx,16,16,6,0.7114792142,98.65278078,0.3457340688,0
2018p704962,,2018-09-18T20:03:54.047Z,2018-09-18T20:05:51.324Z,175.3341744,-39.19444736,1.078618371,11.09375,M,,NonLinLoc,,automatic,nz3drx,21,21,8,0.09676335518,102.6759053,4.028245958,0
2018p704931,earthquake,2018-09-18T19:47:59.782Z,2018-09-18T21:02:42.659Z,175.649522,-39.1416325,0.6861219948,5.029296875,M,,NonLinLoc,confirmed,manual,nz3drx,16,9,7,0.02587052216,71.12018492,0.1028638456,0
2018p704899,,2018-09-18T19:30:42.167Z,2018-09-18T19:32:23.453Z,178.2928258,-38.44008893,2.504888451,22.8125,M,,NonLinLoc,,automatic,nz3drx,14,14,8,0.0832478227,216.7383459,0.4838087684,0
2018p704826,,2018-09-18T18:51:32.235Z,2018-09-18T23:46:11.095Z,174.7079457,-40.636506,2.596477084,39.21875,M,,NonLinLoc,,automatic,nz3drx,60,60,28,0.2703986654,75.72855884,0.5968535225,0
2018p704800,,2018-09-18T18:37:44.067Z,2018-09-18T18:40:00.924Z,173.6167013,-42.25600089,2.549747521,26.09375,M,,NonLinLoc,,automatic,nz3drx,14,14,5,0.1703331942,134.8302326,0.742769706,0
2018p704730,,2018-09-18T18:00:14.693Z,2018-09-18T23:38:41.628Z,174.9270121,-40.18940167,2.225563968,29.84375,M,,NonLinLoc,,automatic,nz3drx,48,48,22,0.6514777002,88.66814824,0.8986143151,0
2018p704680,earthquake,2018-09-18T17:33:56.290Z,2018-09-18T21:01:08.681Z,175.9474855,-39.04391532,1.07434045,17.890625,M,,NonLinLoc,confirmed,manual,nz3drx,23,15,7,0.2041927151,207.8582527,0.2886947643,0
2018p704661,earthquake,2018-09-18T17:23:40.657Z,2018-09-18T19:54:28.661Z,176.0252528,-38.97668961,2.745865229,10.0390625,M,,NonLinLoc,confirmed,manual,nz3drx,70,60,39,0.1004037021,27.18474495,0.5735894009,0
2018p704652,,2018-09-18T17:18:48.836Z,2018-09-18T17:48:22.839Z,176.1238744,-38.55337093,2.319813168,146.5625,M,,NonLinLoc,,automatic,nz3drx,59,59,20,0.6243545109,146.9866641,1.561679754,0
2018p704640,earthquake,2018-09-18T17:12:29.636Z,2018-09-18T19:51:55.099Z,175.4097237,-39.17382085,0.8015403342,5.1171875,M,,NonLinLoc,confirmed,manual,nz3drx,21,11,5,0.1042537007,169.5614073,0.2914473773,0
2018p704552,,2018-09-18T16:25:28.353Z,2018-09-18T16:48:34.240Z,176.8668169,-39.64354295,1.708155593,18.359375,M,,NonLinLoc,,automatic,nz3drx,16,16,5,0.1523279342,84.02022728,0.3094522441,0
2018p704397,earthquake,2018-09-18T15:02:53.783Z,2018-09-19T00:13:41.451Z,177.1758728,-37.64219666,2.572130423,66.38162231,M,,LOCSAT,confirmed,manual,iasp91,19,13,8,0.4945084453,173.1788483,0.6540031158,0
2018p704396,,2018-09-18T15:02:27.997Z,2018-09-18T15:05:53.443Z,175.8918899,-40.05165692,2.243355734,30.78125,M,,NonLinLoc,,automatic,nz3drx,19,19,7,0.05330859422,126.8497504,1.286763919,0
2018p704384,,2018-09-18T14:55:55.381Z,2018-09-18T14:57:17.378Z,175.8660409,-40.61185848,1.466345108,26.328125,M,,NonLinLoc,,automatic,nz3drx,14,14,6,0.1661497964,85.70995772,0.3903771208,0
2018p704347,,2018-09-18T14:36:36.036Z,2018-09-18T14:38:50.248Z,173.2868263,-42.48005587,2.203207565,23.28125,M,,NonLinLoc,,automatic,nz3drx,15,15,3,0.1970491781,116.6706815,0.590001783,0
2018p704300,,2018-09-18T14:11:15.865Z,2018-09-18T14:13:21.067Z,176.718299,-39.98984853,1.599800981,40.15625,M,,NonLinLoc,,automatic,nz3drx,13,13,5,0.116293515,83.66458947,0.4170113712,0
2018p704296,,2018-09-18T14:09:24.446Z,2018-09-18T14:11:51.608Z,175.0941709,-39.20881569,2.306037057,184.0625,M,,NonLinLoc,,automatic,nz3drx,34,34,8,0.2717182619,69.85934673,1.512090349,0
2018p704282,,2018-09-18T14:01:43.961Z,2018-09-18T14:03:53.998Z,172.7561326,-41.39456245,1.996874184,101.5625,M,,NonLinLoc,,automatic,nz3drx,11,11,2,0.00465625256,127.173458,0.6391712774,0
2018p704266,,2018-09-18T13:53:20.432Z,2018-09-18T13:55:40.431Z,172.9812222,-42.07057065,2.583362078,65.46875,M,,NonLinLoc,,automatic,nz3drx,28,28,10,0.3115522989,67.91155548,0.5512576744,0
2018p704261,,2018-09-18T13:50:48.390Z,2018-09-18T13:52:43.583Z,177.794096,-38.5455217,1.323363293,15.546875,M,,NonLinLoc,,automatic,nz3drx,13,13,3,0.1168556224,112.1992516,0.4673353626,0
2018p704242,earthquake,2018-09-18T13:40:12.640Z,2018-09-18T19:50:37.408Z,175.6964095,-39.44306575,0.953426075,13.203125,M,,NonLinLoc,confirmed,manual,nz3drx,19,12,6,0.05653967161,145.0483719,0.2853209847,0
2018p704131,outside of network interest,2018-09-18T12:40:24.317Z,2018-09-19T00:04:22.635Z,-177.929184,-33.34337997,4.423160923,285.9806824,M,,LOCSAT,confirmed,manual,iasp91,28,21,7,4.068760395,210.0154994,3.713449714,0
2018p703995,,2018-09-18T11:28:51.216Z,2018-09-18T11:30:47.484Z,175.7837943,-39.11977906,2.227324087,145.625,M,,NonLinLoc,,automatic,nz3drx,11,11,2,0.3659185497,208.9278478,1.369463559,0
2018p703968,,2018-09-18T11:14:14.513Z,2018-09-18T11:16:14.739Z,174.9037716,-39.3848106,1.937230475,29.84375,M,,NonLinLoc,,automatic,nz3drx,18,18,5,0.2801564498,81.43579283,0.3901569191,0
2018p703957,,2018-09-18T11:08:22.003Z,2018-09-18T11:10:51.539Z,172.7715404,-41.44843797,2.39868039,90.3125,M,,NonLinLoc,,automatic,nz3drx,30,30,10,0.05048705893,95.8749683,0.8108677914,0
2018p703892,,2018-09-18T10:34:15.000Z,2018-09-18T10:36:23.444Z,178.4814102,-38.15944903,2.557564374,32.1875,M,,NonLinLoc,,automatic,nz3drx,10,10,5,0.1919495765,259.5537652,0.8993761738,0
2018p703881,earthquake,2018-09-18T10:28:08.408Z,2018-09-18T19:48:19.164Z,176.9731051,-38.24742718,1.833068414,11.6796875,M,,NonLinLoc,confirmed,manual,nz3drx,17,13,7,0.1085227513,75.71094337,0.378274717,0
2018p703812,,2018-09-18T09:51:45.251Z,2018-09-18T09:54:19.157Z,177.2912518,-37.85943563,2.559586168,111.875,M,,NonLinLoc,,automatic,nz3drx,30,30,14,0.3173001417,197.3233578,1.728765385,0
2018p703775,earthquake,2018-09-18T09:31:29.873Z,2018-09-18T19:47:28.277Z,175.7651836,-39.00458968,1.344761914,5.1171875,M,,NonLinLoc,confirmed,manual,nz3drx,19,10,6,0.06051102287,195.3769216,0.2702327542,0
2018p703735,,2018-09-18T09:10:24.265Z,2018-09-18T09:12:50.938Z,167.9809199,-44.67154591,2.404094436,6.40625,M,,NonLinLoc,,automatic,nz3drx,15,15,3,0.03898676896,137.2881726,0.9956547565,0
2018p703722,,2018-09-18T09:03:25.640Z,2018-09-18T09:06:06.887Z,175.5348603,-40.97045703,2.621793472,24.453125,M,,NonLinLoc,,automatic,nz3drx,44,44,22,0.07250717327,63.04515732,0.8148924326,0
2018p703683,,2018-09-18T08:42:32.055Z,2018-09-18T09:16:35.285Z,176.6836432,-38.3972413,2.029078591,58.4375,M,,NonLinLoc,,automatic,nz3drx,18,18,5,0.1025785341,95.05629224,0.9120676974,0
2018p703629,earthquake,2018-09-18T08:13:29.975Z,2018-09-18T23:27:01.739Z,-178.900116,-35.10112,4.281938877,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,22,19,12,3.334340811,304.5587921,0.5211389013,0
2018p703572,,2018-09-18T07:43:36.298Z,2018-09-18T07:45:39.378Z,177.2492512,-37.9281152,1.777966223,69.6875,M,,NonLinLoc,,automatic,nz3drx,10,10,5,0.3375102015,212.0860275,0.7387962956,0
2018p703334,earthquake,2018-09-18T05:37:02.660Z,2018-09-18T06:08:08.543Z,175.7615155,-39.01031298,0.863161263,5.1171875,M,,NonLinLoc,confirmed,manual,nz3drx,17,9,5,0.06080990825,193.9092088,0.2612968771,0
2018p703275,,2018-09-18T05:05:05.123Z,2018-09-18T05:06:40.181Z,176.1726534,-40.76935384,1.702025178,24.921875,M,,NonLinLoc,,automatic,nz3drx,15,15,7,0.105777502,134.9902392,0.2439759779,0
2018p703237,earthquake,2018-09-18T04:44:48.508Z,2018-09-18T06:06:45.284Z,175.723119,-39.01476747,0.9852200892,5.05859375,M,,NonLinLoc,confirmed,manual,nz3drx,15,8,8,0.04333320208,169.9894248,0.249198069,0
2018p703183,,2018-09-18T04:16:07.744Z,2018-09-18T04:31:50.828Z,176.3954862,-38.60338618,2.105712139,54.21875,M,,NonLinLoc,,automatic,nz3drx,35,35,18,0.230415287,174.7482566,0.6163200576,0
2018p703137,,2018-09-18T03:51:38.004Z,2018-09-18T03:53:59.324Z,176.584821,-36.8508171,2.432193673,40.625,M,,NonLinLoc,,automatic,nz3drx,15,15,7,0.6959252023,216.1797187,1.727598314,0
2018p703133,,2018-09-18T03:49:25.970Z,2018-09-18T03:51:24.640Z,174.9323296,-39.30562296,1.798492523,28.90625,M,,NonLinLoc,,automatic,nz3drx,23,23,10,0.2224356277,165.4694245,0.446965313,0
2018p703114,earthquake,2018-09-18T03:39:37.413Z,2018-09-18T06:05:03.861Z,175.740253,-39.01424863,0.6387139771,5.703125,M,,NonLinLoc,confirmed,manual,nz3drx,13,8,2,0.05067817719,234.4441485,0.1523884025,0
2018p703111,,2018-09-18T03:38:03.278Z,2018-09-18T03:39:17.624Z,175.8551738,-40.99913212,1.836417958,19.0625,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.1114745292,155.2455272,0.1855246241,0
2018p703092,,2018-09-18T03:27:37.789Z,2018-09-18T03:29:14.476Z,174.1347427,-41.71635173,1.686920987,10.390625,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.06797781395,92.35241413,0.3669905362,0
2018p703074,,2018-09-18T03:18:12.097Z,2018-09-18T03:29:22.479Z,169.1383091,-43.91131091,2.409765992,5.46875,M,,NonLinLoc,,automatic,nz3drx,18,18,6,0.2955111287,161.7901527,1.145882287,0
2018p703011,earthquake,2018-09-18T02:45:00.164Z,2018-09-18T06:03:34.431Z,175.8418246,-39.00901412,0.9029941109,5.234375,M,,NonLinLoc,confirmed,manual,nz3drx,12,7,4,0.1492968679,239.3229804,0.3413945204,0
2018p703004,earthquake,2018-09-18T02:41:14.600Z,2018-09-18T06:02:07.537Z,175.7422377,-38.99805357,1.439313576,9.8046875,M,,NonLinLoc,confirmed,manual,nz3drx,29,19,13,0.04191691927,168.7859292,0.2003390275,0
2018p703000,earthquake,2018-09-18T02:38:52.180Z,2018-09-18T06:00:39.676Z,175.7570792,-39.01017751,0.8953053965,5.8203125,M,,NonLinLoc,confirmed,manual,nz3drx,22,13,7,0.05789378973,191.0906151,0.2381432041,0
2018p702993,,2018-09-18T02:34:48.685Z,2018-09-18T06:12:38.281Z,175.7538625,-39.00007585,1.362284259,7.6953125,M,,NonLinLoc,confirmed,manual,nz3drx,21,11,8,0.05074631085,187.5773733,0.1983539963,0
2018p702992,earthquake,2018-09-18T02:34:19.544Z,2018-09-18T05:59:06.466Z,175.7503419,-38.99246574,1.379342936,10.0390625,M,,NonLinLoc,confirmed,manual,nz3drx,34,22,14,0.04536495735,63.72303747,0.2201998854,0
2018p702981,earthquake,2018-09-18T02:28:25.635Z,2018-09-18T05:57:31.126Z,175.745449,-38.99606759,1.550991665,9.921875,M,,NonLinLoc,confirmed,manual,nz3drx,34,22,13,0.04320944593,64.11105446,0.3279425653,0
2018p702970,earthquake,2018-09-18T02:22:32.651Z,2018-09-18T05:55:34.673Z,175.7537101,-39.00132163,2.221887496,9.921875,M,,NonLinLoc,confirmed,manual,nz3drx,45,32,40,0.05119490919,59.97921284,0.3886351555,0
2018p702968,earthquake,2018-09-18T02:21:46.075Z,2018-09-18T05:52:18.132Z,175.7503419,-38.99246574,1.680061138,10.0390625,M,,NonLinLoc,confirmed,manual,nz3drx,34,20,24,0.04536495735,63.72303747,0.2723270649,0
2018p702883,earthquake,2018-09-18T01:36:22.453Z,2018-09-24T04:46:28.542Z,176.459198,-38.07966232,4.633148436,149.3538513,M,,LOCSAT,confirmed,manual,iasp91,109,91,69,0.05901326612,38.45532227,0.5273396958,0
2018p702869,,2018-09-18T01:29:20.601Z,2018-09-18T01:31:13.928Z,175.4647594,-40.9216903,1.504243007,24.453125,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.044725606,102.4816568,1.285336487,0
2018p702848,earthquake,2018-09-18T01:17:53.289Z,2018-09-24T04:37:48.957Z,175.5024414,-40.96033859,2.424874886,21.91740036,M,,LOCSAT,confirmed,manual,iasp91,40,21,13,0.06367156655,69.09115028,0.5445408849,0
2018p702827,,2018-09-18T01:06:33.003Z,2018-09-18T01:08:13.064Z,177.1475783,-38.29321632,1.565450558,13.90625,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.04220431278,93.03932057,0.5829730612,0
2018p702792,,2018-09-18T00:47:54.928Z,2018-09-18T00:51:24.486Z,176.1570318,-38.16765031,2.652083604,152.1875,M,,NonLinLoc,,automatic,nz3drx,70,70,31,0.3590371617,71.73911669,1.644940115,0
2018p702786,quarry blast,2018-09-18T00:44:46.603Z,2018-09-24T04:31:01.329Z,170.3525696,-45.29323578,2.439192779,0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,10,10,1,0.3237460554,124.0926132,1.089531334,0
2018p702763,,2018-09-18T00:32:24.298Z,2018-09-18T00:34:22.710Z,177.688477,-38.97540305,1.439599744,15.078125,M,,NonLinLoc,,automatic,nz3drx,13,13,7,0.05022545355,66.51289998,0.3506551847,0
2018p702721,,2018-09-18T00:10:18.465Z,2018-09-18T00:12:12.803Z,177.6407171,-39.16468805,1.961426151,17.65625,M,,NonLinLoc,,automatic,nz3drx,18,18,9,0.144805291,129.2178194,0.6812130508,0
2018p702688,,2018-09-17T23:52:22.188Z,2018-09-17T23:53:33.918Z,177.8191702,-38.56128381,1.494635766,16.015625,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.1256333806,99.03218061,0.4353893202,0
2018p702676,,2018-09-17T23:46:05.439Z,2018-09-18T00:02:38.082Z,174.2805656,-41.60802525,1.831722601,22.34375,M,,NonLinLoc,,automatic,nz3drx,14,14,7,0.1517510713,112.86072,0.4210503354,0
2018p702639,,2018-09-17T23:26:31.145Z,2018-09-17T23:27:53.368Z,177.8340324,-38.56007434,1.442036239,15.546875,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.122193887,101.1821261,0.2050032734,0
2018p702595,earthquake,2018-09-17T23:02:50.174Z,2018-09-24T04:23:30.605Z,174.3598938,-41.55319977,2.414746851,7.342318058,M,,LOCSAT,confirmed,manual,iasp91,31,21,12,0.2242000103,117.5210037,0.4126126603,0
2018p702596,,2018-09-17T23:02:41.864Z,2018-09-17T23:04:45.230Z,170.6815375,-43.67102158,1.924991444,12.03125,M,,NonLinLoc,,automatic,nz3drx,10,10,5,0.2741805671,75.38018925,0.4549046336,0
2018p702581,,2018-09-17T22:55:43.574Z,2018-09-17T23:03:19.880Z,175.4930234,-39.20929047,1.466908561,67.34375,M,,NonLinLoc,,automatic,nz3drx,33,33,15,0.06544666611,90.53477004,0.8593635534,0
2018p702523,,2018-09-17T22:24:20.432Z,2018-09-17T22:26:21.684Z,176.8048613,-39.80164729,2.114579902,20.234375,M,,NonLinLoc,,automatic,nz3drx,35,35,19,0.05519141089,87.61434857,0.6706605066,0
2018p702471,,2018-09-17T21:56:48.995Z,2018-09-17T22:19:03.316Z,176.5967285,-38.22456478,1.713065104,96.875,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.4039561643,214.3227252,0.8966577652,0
2018p702400,,2018-09-17T21:19:05.636Z,2018-09-17T21:20:31.845Z,175.3486917,-40.99244524,1.889689435,21.40625,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.1585632607,65.84742347,0.185795285,0
